ID	Name	Category	Type	Components	Marinobacter_sp_ES_048	Marinobacter_adhaerens_HP15	Marinobacter_adhaerens_strain_PBVC038	Marinobacter_algicola_DG893	Marinobacter_antarcticus_CGMCC1_10835	Marinobacter_aromaticivorans_strain_D15_8P	Marinobacter_daepoensis_DSM_16072	Marinobacter_dagiaonensis_CGMCC_1_9167	Marinobacter_sp_EN3	Marinobacter_sp_ES_1	Marinobacter_sp_EVN1	Marinobacter_excellens_HL_55	Marinobacter_excellens_LAMA_842	Marinobacter_flavimaris	Marinobacter_guaonensis_CGCC_1_6294	Marinobacter_guineae_strain_M3B	Marinobacter_hydrocarbonoclasticus_ASM1536	Marinobacter_hydrocarbonoclasticus_ATCC_49840	Marinobacter_hydrocarbonoclasticus_STW2	Marinobacter_lipoliticus_BF04_CF_4	Marinobacter_lipolyticus_SM19	Marinobacter_lutaoensis_T5054	Marinobacter_sp_LV10R510_8	Marinobacter_manganoxydans_MnI7_9	Marinobacter_mobilis_GCMCC_1_7059	Marinobacter_nanhaiticus_D15_8W	Marinobacter_nitrareduscens_AK21	Marinobacter_pelagius_CGMCC_1_6775	Marinobacter_persicus_IBRC_M_10445	Marinobacter_psychrophilus_20041	Marinobacter_salarius_SMR5	Marinobacter_salexigens_strain_HJR7	Marinobacter_salinus_Hb8	Marinobacter_santoriniensis_NKSG1	Marinobacter_segnicrescens_CGMCC_1_6489	Marinobacter_sp_AC_23	Marinobacter_sp_ANT_B65	Marinobacter_sp_BSs20148	Marinobacter_sp_C18	Marinobacter_sp_C1S70	Marinobacter_sp_CP1	Marinobacter_sp_CPC8	Marinobacter_sp_DG879	Marinobacter_sp_DSM_26291	Marinobacter_sp_DSM_26671	Marinobacter_sp_EhC06	Marinobacter_sp_EhN04	Marinobacter_sp_ELB17	Marinobacter_sp_ES_042	Marinobacter_sp_FDB33	Marinobacter_sp_IN6	Marinobacter_sp_LQ44	Marinobacter_sp_LV10MA510_1	Marinobacter_sp_LV10R510_11A	Marinobacter_sp_LV10R520_4	Marinobacter_sp_LVR2A5A20	Marinobacter_sp_MCTG268	Marinobacter_sp_N4	Marinobacter_sp_P4B1	Marinobacter_sp_PWS21	Marinobacter_zhejiangensis_CGMCC_1_7061
M00388	ECS_complex	Ubiquitin_system	Complex	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00389	APC/C_complex	Ubiquitin_system	Complex	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00400	p97-Ufd1-Npl4_complex	Protein_processing	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00401	Sec61_complex	Protein_processing	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00402	Translocon-associated_protein_(TRAP)_complex	Protein_processing	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00403	HRD1/SEL1_ERAD_complex	Protein_processing	Complex	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0
M00404	COPII_complex	Protein_processing	Complex	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00408	ESCRT-0_complex	Protein_processing	Complex	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00409	ESCRT-I_complex	Protein_processing	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00410	ESCRT-II_complex	Protein_processing	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00412	ESCRT-III_complex	Protein_processing	Complex	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00185	Sulfate_transport_system	Mineral_and_organic_ion_transport_system	Complex	4	0	100	100	0	0	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	0	100	0	100	0	100	0	0	100	100	0	100	0	0	100	0	100	100	0	100	100	0	0	0	100	100	100	100	100	0	100	100	100	0	100	0	0	100	100	0	25
M00189	Molybdate_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00423	Molybdate/tungstate_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00186	Tungstate_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	100	100	100	100	100	0	0	0	100	0	100	100	100	100	100	0	0	66.7	0	0	0	0	100	0	0	0	100	0	0	100	100	100	0	0	100	0	100	100	0	100	100	100	100	100	100	100	100	100	0	100	100	100	0	100	0	100	100	100	100	0
M00438	Nitrate/nitrite_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	100	100	100	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	0	100	0	0	100	100	100	100	100	0	0	100	0	0	100	100	100	0	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	0	0	0	0	100	100	0	100	100
M00321	Bicarbonate_transport_system	Mineral_and_organic_ion_transport_system	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00188	NitT/TauT_family_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	33.3	100	100	100	100	100	100	100	100	100	100	33.3	100	100	100	0	100	100	100	100	100	100	100	33.3	100	100	100	100	100	100	100	66.7	100	100	100	100	100	100	100	100	100	100	100	100	100
M00435	Taurine_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.7	0	0	0	0	0	0	0	66.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3	0	0
M00436	Sulfonate_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3	0	0	0	0	0	0	0	0	0	0	0	0	0
M00437	Phthalate_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00190	Iron(III)_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00191	Thiamine_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	0	0	0	100	100	100	0	100	100	100	100	0	0	0	0	100	100	0	0	0	100	100	0	0	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	0	0	100	0	0	0	0	100	100	0	0	0	100	100	100	100	0	0	100	100	0
M00299	Spermidine/putrescine_transport_system	Mineral_and_organic_ion_transport_system	Complex	4	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	0	100	0	100	0	25	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100
M00300	Putrescine_transport_system	Mineral_and_organic_ion_transport_system	Complex	4	0	100	100	100	0	100	0	100	100	100	100	0	75	100	100	100	100	100	100	25	0	0	100	100	0	0	0	0	0	100	0	0	0	0	100	0	0	100	0	100	100	0	0	0	100	100	100	100	0	0	100	100	0	0	100	0	0	100	100	100	0
M00193	Putative_spermidine/putrescine_transport_system	Mineral_and_organic_ion_transport_system	Complex	4	0	25	0	0	100	0	0	25	0	0	0	0	0	0	0	100	0	0	0	0	25	0	0	25	0	75	25	0	0	0	0	0	75	100	100	0	100	100	0	0	0	0	0	0	0	0	0	0	25	25	25	0	0	0	0	0	0	0	0	0	0
M00301	Mannopine_transport_system	Mineral_and_organic_ion_transport_system	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00302	2-Aminoethylphosphonate_transport_system	Mineral_and_organic_ion_transport_system	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00208	Glycine_betaine/proline_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	100	100	100	100	100	0	0	0	0	0	0	0	100	100	100	33.3	33.3	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	0	0
M00209	Osmoprotectant_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	100	100	100	100	0	100	0	0	0	0	0	0	0	100	0	0	0	0	0	100	0	100	100	100	0	100	0	0	0	0	100	100	100	100	0	100	0	0	100	0	100	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	0	0	0	0
M00442	Putative_hydroxymethylpyrimidine_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00192	Putative_thiamine_transport_system	Mineral_and_organic_ion_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	100	100	0	0	0	0	0
M00194	Maltose/maltodextrin_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	100	100	0	100	0	25	0	0	0	0	100	0	100	25	0	0	100	0	100	25	0	0	25	100	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	100	100	100	0	100	100	0	0	100	0	100	0	0	0	0	100	100	0	0	0
M00196	Raffinose/stachyose/melibiose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	25	0	25	0	25	0	0	0	0	0	0	25	25	0	0	0	0	0	25	0	0	25	25	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	25	25	0	25	25	0	0	25	0	0	0	0	0	0	25	25	0	0	0
M00201	alpha-Glucoside_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00203	Glucose/arabinose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00605	Glucose/mannose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	100	100	100	0	25	25	25	0	0	0	0	0	0	100	100	0	0	0	0	0	100	0	0	25	100	0	0	0	0	100	0	0	0	0	0	25	0	100	0	0	100	100	100	0	100	100	0	0	100	0	0	0	0	0	0	100	100	0	0	25
M00204	Trehalose/maltose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	0	25	25	0	100	0	0	0	0	0	0	25	0	100	0	0	0	25	0	25	25	0	0	0	100	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	100	25	0	100	100	0	0	25	0	25	0	0	0	0	0	100	0	0	0
M00604	Trehalose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00205	N-Acetylglucosamine_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00206	Cellobiose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	25	0	25	0	25	0	0	0	0	0	0	25	25	0	0	0	0	0	25	0	0	25	25	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	25	25	0	25	25	0	0	25	0	0	0	0	0	0	25	25	0	0	0
M00606	N_N'-Diacetylchitobiose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	25	0	25	0	25	0	0	0	0	0	0	25	25	0	0	0	0	0	25	0	0	25	25	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	25	25	0	25	25	0	0	25	0	0	0	0	0	0	25	25	0	0	0
M00601	Putative_chitobiose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00213	L-Arabinose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00199	L-Arabinose/lactose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00202	Oligogalacturonide_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00600	alpha-1_4-Digalacturonate_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00603	Putative_aldouronate_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00214	Methyl-galactoside_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00215	D-Xylose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00619	Xylobiose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00216	Multiple_sugar_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00217	D-Allose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00218	Fructose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00219	AI-2_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00220	Rhamnose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00212	Ribose_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	66.7	0	0	0	0	0	0	0	33.3	0	33.3	0	0	0	0	100	0	33.3	0	0	0	0	0	0	0	100	0	0	33.3	0	0	0	66.7	0	33.3	0	0	0	0	33.3	0	0	0	0	0	0	0	66.7	0	0	0	0	0	0	0	0	0	0	0	0	0
M00590	Erythritol_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00591	Putative_xylitol_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00592	Inositol_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00593	Inositol_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00599	Inositol-phosphate_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00197	Putative_fructooligosaccharide_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	25	0	25	0	25	0	0	0	0	0	0	25	25	0	0	0	0	0	25	0	0	25	25	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	25	25	0	25	25	0	0	25	0	0	0	0	0	0	25	25	0	0	0
M00607	Glycerol_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	5	0	100	0	80	0	0	0	80	0	0	0	0	0	100	100	100	0	0	0	100	0	0	100	100	20	100	0	0	0	100	100	100	0	0	100	100	0	100	100	0	100	100	100	100	100	100	100	100	0	0	100	0	100	100	100	100	100	100	0	0	20
M00198	Putative_sn-glycerol-phosphate_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00200	Putative_sorbitol/mannitol_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	100	0	25	0	25	0	0	0	0	25	0	25	25	0	0	25	0	25	100	0	0	25	100	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	25	100	25	0	25	25	0	0	25	0	25	0	0	0	0	25	25	0	0	0
M00602	Arabinosaccharide_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	25	0	25	0	25	0	0	0	0	0	0	25	25	0	0	0	0	0	25	0	0	25	25	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	25	25	0	25	25	0	0	25	0	0	0	0	0	0	25	25	0	0	0
M00669	gamma-Hexachlorocyclohexane_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	75	100	100	75	75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	75
M00210	Phospholipid_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	5	100	100	100	100	100	100	100	80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	80	100	100	100	100	100	100	100	100	100	100	100	80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00670	Mce_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
M00491	arabinogalactan_oligomer/maltooligosaccharide_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	25	0	25	0	25	0	0	0	0	25	0	25	25	0	0	25	0	25	25	0	0	25	25	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	25	25	0	25	25	0	0	25	0	25	0	0	0	0	25	25	0	0	0
M00207	Putative_multiple_sugar_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	4	0	25	25	25	0	25	0	25	0	0	0	0	25	0	50	25	0	0	25	0	25	50	0	0	25	25	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	25	25	25	0	25	25	0	0	25	0	25	0	0	0	0	25	25	0	0	0
M00221	Putative_simple_sugar_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	3	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	100	0	0	0	100	0	0	0	66.7	0	0	0	0	100	0	100	0	0	0	0	100	0	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
M00211	Putative_ABC_transport_system	Saccharide_polyol_and_lipid_transport_system	Complex	2	50	50	50	0	50	50	0	50	50	50	50	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	50	50	50	0	0	0	50	50	0	50	50	0	0	50	50	0	50	0	50	50	50	0	50	100	50	0	0	50	0	50	0	50	0	50	100
M00222	Phosphate_transport_system	Phosphate_and_amino_acid_transport_system	Complex	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00223	Phosphonate_transport_system	Phosphate_and_amino_acid_transport_system	Complex	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00225	Lysine/arginine/ornithine_transport_system	Phosphate_and_amino_acid_transport_system	Complex	4	0	25	25	25	25	25	25	25	0	0	0	25	25	25	25	25	25	25	25	25	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	25	25	25	25	50	25	25	25	25	25	25
M00226	Histidine_transport_system	Phosphate_and_amino_acid_transport_system	Complex	4	0	25	25	25	25	25	25	25	0	0	0	25	25	25	25	25	25	25	25	25	0	25	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	25	25	25	25	25	25	25	25	25	25	25
